"filename", "language", "CSS", "JavaScript", "JSON", "XML", "HTML", "comment", "blank", "total"
"/Users/guillermo/Documents/projects/sigma/cvmaker/config-overrides.js", "JavaScript", 0, 8, 0, 0, 0, 0, 1, 9
"/Users/guillermo/Documents/projects/sigma/cvmaker/package-lock.json", "JSON", 0, 0, 50141, 0, 0, 0, 1, 50142
"/Users/guillermo/Documents/projects/sigma/cvmaker/package.json", "JSON", 0, 0, 96, 0, 0, 0, 1, 97
"/Users/guillermo/Documents/projects/sigma/cvmaker/public/index.html", "HTML", 0, 0, 0, 0, 33, 0, 3, 36
"/Users/guillermo/Documents/projects/sigma/cvmaker/public/manifest.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 27
"/Users/guillermo/Documents/projects/sigma/cvmaker/public/offline.html", "HTML", 0, 0, 0, 0, 48, 0, 6, 54
"/Users/guillermo/Documents/projects/sigma/cvmaker/public/serviceWorker.js", "JavaScript", 0, 33, 0, 0, 0, 3, 5, 41
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/App.css", "CSS", 6, 0, 0, 0, 0, 0, 1, 7
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/App.js", "JavaScript", 0, 250, 0, 0, 0, 0, 3, 253
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/ActionCard/index.js", "JavaScript", 0, 18, 0, 0, 0, 0, 4, 22
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/ActionCard/styles.css", "CSS", 21, 0, 0, 0, 0, 2, 3, 26
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/BarChart/index.js", "JavaScript", 0, 36, 0, 0, 0, 0, 7, 43
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/BarChart/styles.css", "CSS", 12, 0, 0, 0, 0, 4, 2, 18
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/Bullet/index.js", "JavaScript", 0, 320, 0, 0, 0, 0, 18, 338
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/Bullet/styles.css", "CSS", 145, 0, 0, 0, 0, 1, 19, 165
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/CTAButton/index.js", "JavaScript", 0, 42, 0, 0, 0, 0, 5, 47
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/CTAButton/styles.css", "CSS", 136, 0, 0, 0, 0, 1, 22, 159
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/CVFooter/index.js", "JavaScript", 0, 80, 0, 0, 0, 0, 4, 84
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/CVFooter/styles.css", "CSS", 38, 0, 0, 0, 0, 0, 6, 44
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/CVHeader/index.js", "JavaScript", 0, 20, 0, 0, 0, 0, 5, 25
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/CVHeader/styles.css", "CSS", 40, 0, 0, 0, 0, 0, 6, 46
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/DataTable/index.js", "JavaScript", 0, 173, 0, 0, 0, 0, 6, 179
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/DataTable/styles.css", "CSS", 139, 0, 0, 0, 0, 4, 25, 168
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/Dropdown/index.js", "JavaScript", 0, 116, 0, 0, 0, 0, 6, 122
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/Dropdown/styles.css", "CSS", 133, 0, 0, 0, 0, 4, 15, 152
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/Footer/index.js", "JavaScript", 0, 24, 0, 0, 0, 7, 2, 33
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/Footer/styles.css", "CSS", 59, 0, 0, 0, 0, 0, 7, 66
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/Header/index.js", "JavaScript", 0, 98, 0, 0, 0, 0, 10, 108
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/Header/styles.css", "CSS", 94, 0, 0, 0, 0, 2, 16, 112
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/InputBullet/index.js", "JavaScript", 0, 216, 0, 0, 0, 0, 13, 229
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/InputBullet/styles.css", "CSS", 36, 0, 0, 0, 0, 0, 3, 39
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/InputField/index.js", "JavaScript", 0, 281, 0, 0, 0, 0, 12, 293
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/InputField/styles.css", "CSS", 113, 0, 0, 0, 0, 3, 18, 134
"/Users/guillermo/Documents/projects/sigma/cvmaker/src/components/ItemDropdown/index.js", "JavaScript", 0, 454, 0, 0, 0, 0, 22, 476
